name,city,stabbr,basic2021,enrprofile2021,sector,control,hbcu,hsi,msi,womens,selindex,rooms,ugtenr20,tribal
Los Angeles Trade Technical College,Los Angeles,CA,0,1,4,1,0,1,1,0,,0,11285,0
Los Angeles Valley College,Valley Glen,CA,0,1,4,1,0,1,1,0,,0,15957,0
The Master's University and Seminary,Santa Clarita,CA,3,4,2,2,0,0,0,0,2.0,721,1649,0
Los Angeles City College,Los Angeles,CA,0,1,4,1,0,1,1,0,,0,14800,0
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,1,1,4,1,0,0,0,0,,0,200,0
Los Angeles Mission College,Sylmar,CA,0,1,4,1,0,1,1,0,,0,9451,0
Los Medanos College,Pittsburg,CA,0,1,4,1,0,0,0,0,,0,8521,0
Loyola Marymount University,Los Angeles,CA,2,5,2,2,0,0,0,0,3.0,3684,6673,0
MTI College,Sacramento,CA,0,1,6,3,0,0,0,0,,0,495,0
College of Marin,Kentfield,CA,0,1,4,1,0,0,0,0,,0,4509,0
Marymount California University,Rancho Palos Verdes,CA,5,4,2,2,0,0,0,0,1.0,331,515,0
Mendocino College,Ukiah,CA,0,1,4,1,0,1,1,0,,0,3338,0
Menlo College,Atherton,CA,1,2,2,2,0,0,0,0,2.0,611,826,0
Merced College,Merced,CA,0,1,4,1,0,1,1,0,,0,10645,0
Merritt College,Oakland,CA,0,1,4,1,0,1,1,0,,0,6261,0
Mills College at Northeastern University,Oakland,CA,4,5,2,2,0,0,0,1,2.0,613,613,0
MiraCosta College,Oceanside,CA,0,2,1,1,0,0,0,0,1.0,0,12645,0
Mission College,Santa Clara,CA,0,1,4,1,0,0,0,0,,0,6504,0
Modesto Junior College,Modesto,CA,0,2,1,1,0,1,1,0,1.0,0,16365,0
Middlebury Institute of International Studies at Monterey,Monterey,CA,4,6,2,2,0,0,0,0,0.0,0,13,0
Monterey Peninsula College,Monterey,CA,0,1,4,1,0,1,1,0,,0,7154,0
Moorpark College,Moorpark,CA,0,1,4,1,0,1,1,0,,0,14361,0
Mt San Antonio College,Walnut,CA,0,1,4,1,0,1,1,0,,0,28393,0
Mount Saint Mary's University,Los Angeles,CA,4,5,2,2,0,0,0,0,1.0,650,2071,0
Mt San Jacinto Community College District,San Jacinto,CA,0,1,4,1,0,1,1,0,,0,13988,0
Musicians Institute,Hollywood,CA,1,2,3,3,0,0,0,0,2.0,160,714,0
Napa Valley College,Napa,CA,0,1,4,1,0,1,1,0,,0,4931,0
National University,La Jolla,CA,4,6,2,2,0,0,0,0,0.0,0,8441,0
