GeoFIPS,GeoName,Description,Unit,2018,2019,2020,2021,2022
" ""02060""","Bristol Bay Borough, AK",Population (persons) 1/,Number of persons,919,881,829,841,865
" ""02060""","Bristol Bay Borough, AK",Per capita personal income (dollars) 2/,Dollars,132457,133808,139499,155951,157546
" ""02063""","Chugach Census Area, AK*",Personal income (thousands of dollars) ,Thousands of dollars,(NA),(NA),434744,477000,486137
" ""02063""","Chugach Census Area, AK*",Population (persons) 1/,Number of persons,(NA),(NA),7077,6943,6874
" ""02063""","Chugach Census Area, AK*",Per capita personal income (dollars) 2/,Dollars,(NA),(NA),61431,68702,70721
" ""02066""","Copper River Census Area, AK*",Personal income (thousands of dollars) ,Thousands of dollars,(NA),(NA),128246,149295,155928
" ""02066""","Copper River Census Area, AK*",Population (persons) 1/,Number of persons,(NA),(NA),2616,2611,2589
" ""02066""","Copper River Census Area, AK*",Per capita personal income (dollars) 2/,Dollars,(NA),(NA),49024,57179,60227
" ""02068""","Denali Borough, AK*",Personal income (thousands of dollars) ,Thousands of dollars,171669,172303,142936,171779,191269
" ""02068""","Denali Borough, AK*",Population (persons) 1/,Number of persons,1666,1687,1614,1594,1585
" ""02068""","Denali Borough, AK*",Per capita personal income (dollars) 2/,Dollars,103043,102136,88560,107766,120674
" ""02070""","Dillingham Census Area, AK*",Personal income (thousands of dollars) ,Thousands of dollars,292027,283406,278108,275473,287650
" ""02070""","Dillingham Census Area, AK*",Population (persons) 1/,Number of persons,5008,4938,4835,4774,4723
" ""02070""","Dillingham Census Area, AK*",Per capita personal income (dollars) 2/,Dollars,58312,57393,57520,57703,60904
" ""02090""","Fairbanks North Star Borough, AK",Personal income (thousands of dollars) ,Thousands of dollars,5544411,5647682,5758789,6232535,6464225
" ""02090""","Fairbanks North Star Borough, AK",Population (persons) 1/,Number of persons,98443,96755,95328,95528,95356
" ""02090""","Fairbanks North Star Borough, AK",Per capita personal income (dollars) 2/,Dollars,56321,58371,60410,65243,67790
" ""02100""","Haines Borough, AK*",Personal income (thousands of dollars) ,Thousands of dollars,171329,175514,158166,163065,176124
" ""02100""","Haines Borough, AK*",Population (persons) 1/,Number of persons,2086,2088,2086,2074,2056
" ""02100""","Haines Borough, AK*",Per capita personal income (dollars) 2/,Dollars,82133,84058,75823,78623,85663
" ""02105""","Hoonah-Angoon Census Area, AK*",Personal income (thousands of dollars) ,Thousands of dollars,131543,133124,130677,137918,152994
" ""02105""","Hoonah-Angoon Census Area, AK*",Population (persons) 1/,Number of persons,2314,2342,2362,2339,2287
" ""02105""","Hoonah-Angoon Census Area, AK*",Per capita personal income (dollars) 2/,Dollars,56847,56842,55325,58965,66897
" ""02110""","Juneau City and Borough, AK",Personal income (thousands of dollars) ,Thousands of dollars,2209874,2267471,2275370,2393279,2491441
" ""02110""","Juneau City and Borough, AK",Population (persons) 1/,Number of persons,32323,32353,32202,31965,31685
" ""02110""","Juneau City and Borough, AK",Per capita personal income (dollars) 2/,Dollars,68368,70085,70659,74872,78632
" ""02122""","Kenai Peninsula Borough, AK*",Personal income (thousands of dollars) ,Thousands of dollars,3007832,3156662,3290347,3568705,3718013
" ""02122""","Kenai Peninsula Borough, AK*",Population (persons) 1/,Number of persons,58193,58449,58927,59851,60690
" ""02122""","Kenai Peninsula Borough, AK*",Per capita personal income (dollars) 2/,Dollars,51687,54007,55838,59626,61262
" ""02130""","Ketchikan Gateway Borough, AK*",Personal income (thousands of dollars) ,Thousands of dollars,924574,958035,920562,953478,1003045
" ""02130""","Ketchikan Gateway Borough, AK*",Population (persons) 1/,Number of persons,14006,14046,13918,13810,13741
" ""02130""","Ketchikan Gateway Borough, AK*",Per capita personal income (dollars) 2/,Dollars,66013,68207,66142,69043,72997
" ""02150""","Kodiak Island Borough, AK",Personal income (thousands of dollars) ,Thousands of dollars,799012,822642,854037,877176,910664
" ""02150""","Kodiak Island Borough, AK",Population (persons) 1/,Number of persons,13414,13237,13047,12864,12720
" ""02150""","Kodiak Island Borough, AK",Per capita personal income (dollars) 2/,Dollars,59566,62147,65458,68188,71593
" ""02158""","Kusilvak Census Area, AK*",Personal income (thousands of dollars) ,Thousands of dollars,252848,259829,273324,297238,303572
