#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NUMBER_TESTS_3_OR_HIGHER
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Physics 1","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Psychology","51","51","33"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Spanish Language","10","10","10"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","Statistics","10","10","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","U.S. History","76","76","18"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0198","Woodland High School","World History","82","82","52"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","608","Bartow County","0301","Adairsville Middle School","ALL Subjects","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0301","Adairsville Middle School","Biology","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0301","Adairsville Middle School","Capstone","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0301","Adairsville Middle School","Environmental Science","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0301","Adairsville Middle School","Geography: Human","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","608","Bartow County","0301","Adairsville Middle School","World History","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","608","Bartow County","ALL","All Schools","ALL Subjects","899","1752","781"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Art: Studio 2-D Design","16","16","11"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Art: Studio 3-D Design","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Art: Studio Drawing","21","21","18"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Biology","89","89","38"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Calculus A","26","26","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Calculus BC","11","11","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Capstone","108","108","84"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Capstone Research","79","79","57"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Chemistry","11","11","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Computer Science A","23","23","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Computer Science Principles","58","58","29"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Economics: Micro","93","93","48"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Eng. Language & Comp","149","149","56"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Eng. Literature & Comp","90","90","52"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Environmental Science","77","77","13"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","European History","55","55","23"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","French Language","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Geography: Human","108","108","29"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Gov. & Pol. Comp","41","41","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Gov. & Pol. U.S.","31","31","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Music Theory","10","10","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Physics 1","50","50","TFS"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Psychology","110","110","67"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Spanish Language","38","38","34"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","Statistics","40","40","21"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","U.S. History","178","178","46"
"AP COUNTS","2022-23","DISTRICT","608","Bartow County","ALL","All Schools","World History","223","223","103"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","ALL Subjects","48","49","TFS"
"AP COUNTS","2022-23","SCHOOL","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","Economics: Micro","14","14","TFS"
"AP COUNTS","2022-23","SCHOOL","609","Ben Hill County","0291","Fitzgerald High School School College and Career Academy","World History","33","33","TFS"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","609","Ben Hill County","ALL","All Schools","ALL Subjects","48","49","TFS"
"AP COUNTS","2022-23","DISTRICT","609","Ben Hill County","ALL","All Schools","Computer Science A","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","609","Ben Hill County","ALL","All Schools","Economics: Micro","14","14","TFS"
"AP COUNTS","2022-23","DISTRICT","609","Ben Hill County","ALL","All Schools","World History","33","33","TFS"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","610","Berrien County","0101","Berrien High School","ALL Subjects","64","84","50"
"AP COUNTS","2022-23","SCHOOL","610","Berrien County","0101","Berrien High School","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","610","Berrien County","0101","Berrien High School","Economics: Macro","TFS","TFS","TFS"
"AP COUNTS","2022-23","SCHOOL","610","Berrien County","0101","Berrien High School","Economics: Micro","17","17","15"
"AP COUNTS","2022-23","SCHOOL","610","Berrien County","0101","Berrien High School","Eng. Language & Comp","30","30","12"
"AP COUNTS","2022-23","SCHOOL","610","Berrien County","0101","Berrien High School","Environmental Science","25","25","17"
"AP COUNTS","2022-23","DISTRICT ALL SUBJECTS","610","Berrien County","ALL","All Schools","ALL Subjects","64","84","50"
"AP COUNTS","2022-23","DISTRICT","610","Berrien County","ALL","All Schools","Art: Studio Drawing","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","610","Berrien County","ALL","All Schools","Economics: Macro","TFS","TFS","TFS"
"AP COUNTS","2022-23","DISTRICT","610","Berrien County","ALL","All Schools","Economics: Micro","17","17","15"
"AP COUNTS","2022-23","DISTRICT","610","Berrien County","ALL","All Schools","Eng. Language & Comp","30","30","12"
"AP COUNTS","2022-23","DISTRICT","610","Berrien County","ALL","All Schools","Environmental Science","25","25","17"
"AP COUNTS","2022-23","SCHOOL ALL SUBJECTS","611","Bibb County","0105","Howard High School","ALL Subjects","137","211","76"
"AP COUNTS","2022-23","SCHOOL","611","Bibb County","0105","Howard High School","Art: Studio 2-D Design","TFS","TFS","TFS"
